gene_symbol	ensembl_id	exposure_id	exposure_trait	eqtl_catalogue_dataset_id
ABHD1	ENSG00000143994	eqtlcat-QTD000166-ENSG00000143994	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
ATOH8	ENSG00000168874	eqtlcat-QTD000166-ENSG00000168874	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
CBR3-AS1	ENSG00000236830	eqtlcat-QTD000166-ENSG00000236830	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
DEFA3	ENSG00000239839	eqtlcat-QTD000166-ENSG00000239839	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
DGKK	ENSG00000274588	eqtlcat-QTD000166-ENSG00000274588	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
FANK1	ENSG00000203780	eqtlcat-QTD000166-ENSG00000203780	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
HGD	ENSG00000113924	eqtlcat-QTD000166-ENSG00000113924	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
HPCAL1	ENSG00000115756	eqtlcat-QTD000166-ENSG00000115756	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
HSPA8P15	ENSG00000219395	eqtlcat-QTD000166-ENSG00000219395	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
LAMP5	ENSG00000125869	eqtlcat-QTD000166-ENSG00000125869	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
LOC100422317	ENSG00000267430	eqtlcat-QTD000166-ENSG00000267430	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
LOC100422627	ENSG00000234841	eqtlcat-QTD000166-ENSG00000234841	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
MXI1	ENSG00000119950	eqtlcat-QTD000166-ENSG00000119950	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
NUDT19P5	ENSG00000251073	eqtlcat-QTD000166-ENSG00000251073	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
OLIG1	ENSG00000184221	eqtlcat-QTD000166-ENSG00000184221	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
PRTN3	ENSG00000196415	eqtlcat-QTD000166-ENSG00000196415	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
RAP1GAP	ENSG00000076864	eqtlcat-QTD000166-ENSG00000076864	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
RNU6-33P	ENSG00000207524	eqtlcat-QTD000166-ENSG00000207524	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
RPL22P2	ENSG00000241081	eqtlcat-QTD000166-ENSG00000241081	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
RPL39P15	ENSG00000231414	eqtlcat-QTD000166-ENSG00000231414	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
RPS2P35	ENSG00000238172	eqtlcat-QTD000166-ENSG00000238172	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
S100B	ENSG00000160307	eqtlcat-QTD000166-ENSG00000160307	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
SAMD4A-AS1	ENSG00000285774	eqtlcat-QTD000166-ENSG00000285774	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
SLC39A8	ENSG00000138821	eqtlcat-QTD000166-ENSG00000138821	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
SLC67A1	ENSG00000110628	eqtlcat-QTD000166-ENSG00000110628	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
TMEM176B	ENSG00000106565	eqtlcat-QTD000166-ENSG00000106565	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
TP53TG3D	ENSG00000205456	eqtlcat-QTD000166-ENSG00000205456	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
TPRG1L	ENSG00000158109	eqtlcat-QTD000166-ENSG00000158109	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
TPSAB1	ENSG00000172236	eqtlcat-QTD000166-ENSG00000172236	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
TRGV5	ENSG00000211697	eqtlcat-QTD000166-ENSG00000211697	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
TRIM56	ENSG00000169871	eqtlcat-QTD000166-ENSG00000169871	eQTL Catalogue GTEx QTD000166 (brain (cerebellum)) N=209	QTD000166
